domain,primary_email,email_2,email_3,all_emails,email_source_url,pages_checked,source,status,niche,confidence,review_flag,review_reason,contact_form,contact_form_url,wayback_snapshot_date,date_scraped
webcamera.pl,webcamera@webcamera.pl,,,webcamera@webcamera.pl,https://webcamera.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
innpoland.pl,anna.dryjanska@innpoland.pl,kontakt@innpoland.pl,monika.jankowska-janicka@natemat.pl,anna.dryjanska@innpoland.pl | kontakt@innpoland.pl | monika.jankowska-janicka@natemat.pl | patronaty@natemat.pl,https://innpoland.pl/contact,12,scraper,verified,Technology,high,,,,,,23/06/2026
botland.com.pl,biuro@botland.com.pl,,,biuro@botland.com.pl,https://botland.com.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
dlahandlu.pl,kontakt@ptwp.pl,,,kontakt@ptwp.pl,https://dlahandlu.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
niezalezna.pl,g.wierzcholowski@niezalezna.pl,g.bronski@niezalezna.pl,p.kotomski@niezalezna.pl,g.wierzcholowski@niezalezna.pl | g.bronski@niezalezna.pl | p.kotomski@niezalezna.pl,https://niezalezna.pl,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
instalki.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
pulshr.pl,newsroom@pulshr.pl,kontakt@ptwp.pl,,newsroom@pulshr.pl | kontakt@ptwp.pl,https://pulshr.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
futbolowo.pl,info@futbolowo.pl,reklama@futbolowo.pl,,info@futbolowo.pl | reklama@futbolowo.pl,https://futbolowo.pl/contact,12,scraper,verified,Sports,high,,,,,,23/06/2026
finanse.egospodarka.pl,,,,,,12,,no_email_found,Education / Resources,,yes,no_email_found,Yes,https://finanse.egospodarka.pl,,23/06/2026
radiopik.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
propertynews.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
podatki.egospodarka.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,Yes,https://podatki.egospodarka.pl,,23/06/2026
propertydesign.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
gramwzielone.pl,,,,,,0,blocked:think tank,skipped_irrelevant,Research / Academia,,,,,,,23/06/2026
supermechanik.pl,biuro@supermechanik.pl,,,biuro@supermechanik.pl,https://supermechanik.pl,12,scraper,verified,Technology,high,,,Yes,https://supermechanik.pl,,23/06/2026
radio.bialystok.pl,nowemedia@radio.bialystok.pl,studio@radio.bialystok.pl,waznasprawa@radio.bialystok.pl,nowemedia@radio.bialystok.pl | studio@radio.bialystok.pl | waznasprawa@radio.bialystok.pl,https://radio.bialystok.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
radiopoznan.fm,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
techon.pl,,,,,,12,smtp_catchall,no_email_found,Blog / Content Site,low,yes,smtp_catchall,,,,23/06/2026
tygodnikpowszechny.pl,redakcja@tygodnikpowszechny.pl,kontakt@tygodnikpowszechny.pl,prenumerata@tygodnikpowszechny.pl,redakcja@tygodnikpowszechny.pl | kontakt@tygodnikpowszechny.pl | prenumerata@tygodnikpowszechny.pl | redakcja@tygodnik.com.pl,https://tygodnikpowszechny.pl,12,scraper,verified,Entertainment,high,,,,,,23/06/2026
mambiznes.pl,kontakt@mambiznes.pl,,,kontakt@mambiznes.pl,https://mambiznes.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
radio.katowice.pl,reporter@radio.katowice.pl,sygiet@radio.katowice.pl,sekretariat@radio.katowice.pl,reporter@radio.katowice.pl | sygiet@radio.katowice.pl | sekretariat@radio.katowice.pl | radio@radio.katowice.pl,https://radio.katowice.pl,12,scraper,verified,News / Media,high,,,,,,23/06/2026
radio.rzeszow.pl,antena@radio.rzeszow.pl,sekretariat@radio.rzeszow.pl,,antena@radio.rzeszow.pl | sekretariat@radio.rzeszow.pl,https://radio.rzeszow.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
teraz-srodowisko.pl,ascher@cogiterra.fr,,,ascher@cogiterra.fr,https://teraz-srodowisko.pl,12,scraper,needs_manual_check,General / Other,medium,yes,unclassified_niche; domain_mismatch,,,,23/06/2026
interaktywnie.com,reklama@interaktywnie.com,,,reklama@interaktywnie.com,https://interaktywnie.com,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
radiogdansk.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,Yes,https://radiogdansk.pl,,23/06/2026
budovlanka.pl,redakcja@budovlanka.pl,,,redakcja@budovlanka.pl,https://budovlanka.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
bankbiznes.pl,redakcja@bankbiznes.pl,,,redakcja@bankbiznes.pl,https://bankbiznes.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
brief.pl,redakcja@brief.pl,,,redakcja@brief.pl,https://brief.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
m16.pl,biuro@m16.pl,,,biuro@m16.pl,https://m16.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,Yes,https://m16.pl/contact,,23/06/2026
budujemydom.pl,marcin@budujemydom.pl,ernest.jagodzinski@budujemydom.pl,marta@budujemydom.pl,marcin@budujemydom.pl | ernest.jagodzinski@budujemydom.pl | marta@budujemydom.pl | jaroslaw.antkiewicz@budujemydom.pl | joanna.dabrowska@budujemydom.pl | norbert.skupinski@budujemydom.pl | filip.jagodzinski@budujemydom.pl | inga.fracz@budujemydom.pl | iza@budujemydom.pl | katarzyna.rosa@budujemydom.pl | avt@avt.pl | agnieszka.zuber@avt.pl | szymon.narozniak@avt.pl | iwona.fijewska@avt.pl | marta.zaczek@avt.pl | ewa.zuchora@avt.pl | dorota.chrzaszcz@avt.pl,https://budujemydom.pl/contact-us,12,scraper,verified,News / Media,high,,,Yes,https://budujemydom.pl/contact-us,,23/06/2026
radioszczecin.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
stacja7.pl,redakcja@stacja7.pl,,,redakcja@stacja7.pl,https://stacja7.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
fotosik.pl,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
radioem.pl,redakcja@radioem.pl,sekretariat@radioem.pl,,redakcja@radioem.pl | sekretariat@radioem.pl,https://radioem.pl,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
myapple.pl,,,,,,12,,no_email_found,Magazine,,yes,no_email_found,,,,23/06/2026
wysokienapiecie.pl,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
marketerplus.pl,,,,,,13,,no_email_found,Entertainment,,yes,no_email_found,Unsure,http://marketerplus.pl:80/,2011-02-27,23/06/2026
wiadomoscihandlowe.pl,info@wiadomoscihandlowe.pl,,,info@wiadomoscihandlowe.pl,,12,smtp_guess,needs_manual_check,Technology,low,yes,smtp_guess,Yes,https://wiadomoscihandlowe.pl,,23/06/2026
sekurak.pl,ab@securitum.pl,,,ab@securitum.pl,https://sekurak.pl,12,scraper,needs_manual_check,Technology,medium,yes,domain_mismatch,,,,23/06/2026
katolik.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
cire.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
pap-mediaroom.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
radio.opole.pl,,,,,,12,smtp_catchall,no_email_found,,low,yes,unclassified_niche; smtp_catchall,,,,23/06/2026
zwrotnikraka.pl,kontakt@zwrotnikraka.pl,,,kontakt@zwrotnikraka.pl,https://zwrotnikraka.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
miastodzieci.pl,redakcja@miastodzieci.pl,,,redakcja@miastodzieci.pl,https://miastodzieci.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
noclegowo.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
dietetycy.org.pl,redakcja@dietetycy.org.pl,,,redakcja@dietetycy.org.pl,https://dietetycy.org.pl,12,scraper,verified,Health & Wellness,high,,,,,,23/06/2026
defence24.pl,advertising@defence24.pl,media@defence24.pl,info@defence24.pl,advertising@defence24.pl | media@defence24.pl | info@defence24.pl,,12,smtp_guess,needs_manual_check,General / Other,low,yes,unclassified_niche; smtp_guess,,,,23/06/2026
wszystkoconajwazniejsze.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
projektprzywodztwo.com,kontakt@projektprzywodztwo.com,,,kontakt@projektprzywodztwo.com,https://www.projektprzywodztwo.com/szkolenie-team-building-w-jezyku-angielskim,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
glosseniora.pl,redakcja@manko.pl,,,redakcja@manko.pl,https://glosseniora.pl,12,scraper,needs_manual_check,News / Media,medium,yes,domain_mismatch,,,,23/06/2026
wizaz.pl,,,,,,12,,no_email_found,Lifestyle,,yes,no_email_found,,,,23/06/2026
inzynierbudownictwa.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
cdaction.pl,,,,,,0,blocked:pub,skipped_irrelevant,Bar / Pub,,,,,,,23/06/2026
biotechnologia.pl,malgorzata.ges@biotechnologia.pl,office@wtspatent.pl,wroclaw@wtspatent.pl,malgorzata.ges@biotechnologia.pl | office@wtspatent.pl | wroclaw@wtspatent.pl | witek@wtspatent.pl | rozkowicz@wtspatent.pl | warszawa@wtspatent.pl | gdula@wtspatent.pl | sniezko@wtspatent.pl | andrzej@wtspatent.pl | olivia@pharma-partnering-summit.co.uk,https://biotechnologia.pl,12,scraper,verified,,high,yes,unclassified_niche,Yes,https://biotechnologia.pl,,23/06/2026
fotopolis.pl,avt@avt.pl,,,avt@avt.pl,https://fotopolis.pl,12,scraper,needs_manual_check,News / Media,medium,yes,domain_mismatch,,,,23/06/2026
rynek-kolejowy.pl,kontakt@rynek-kolejowy.pl,,,kontakt@rynek-kolejowy.pl,https://rynek-kolejowy.pl,12,scraper,verified,Technology,high,,,,,,23/06/2026
nowiny.pl,portal@nowiny.pl,,,portal@nowiny.pl,https://nowiny.pl,12,scraper,verified,Lifestyle,high,,,,,,23/06/2026
e.autokult.pl,,,,,,12,,no_email_found,,,yes,unclassified_niche; no_email_found,,,,23/06/2026
radiolodz.pl,info@radiolodz.pl,,,info@radiolodz.pl,,12,smtp_guess,needs_manual_check,,low,yes,unclassified_niche; smtp_guess,,,,23/06/2026
ican.pl,infolinia@ican.pl,,,infolinia@ican.pl,https://ican.pl,12,scraper,verified,Blog / Content Site,high,,,,,,23/06/2026
whitemad.pl,,,,,,9,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
medexpress.pl,,,,,,12,,no_email_found,Technology,,yes,no_email_found,,,,23/06/2026
domiporta.pl,,,,,,12,smtp_catchall,no_email_found,General / Other,low,yes,unclassified_niche; smtp_catchall,,,,23/06/2026
sanatoria.medme.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
panwybierak.pl,media@panwybierak.pl,,,media@panwybierak.pl,,12,smtp_guess,needs_manual_check,General / Other,low,yes,unclassified_niche; smtp_guess,Yes,https://panwybierak.pl,,23/06/2026
histmag.org,,,,,,12,smtp_catchall,no_email_found,General / Other,low,yes,unclassified_niche; smtp_catchall,,,,23/06/2026
rmfclassic.pl,,,,,,12,,no_email_found,Entertainment,,yes,no_email_found,,,,23/06/2026
medme.pl,,,,,,12,,no_email_found,Health & Wellness,,yes,no_email_found,Yes,https://medme.pl/contact,,23/06/2026
globenergia.pl,info@globenergia.pl,,,info@globenergia.pl,,12,smtp_guess,needs_manual_check,,low,yes,unclassified_niche; smtp_guess,,,,23/06/2026
doba.pl,,,,,,0,blocked:hotel,skipped_irrelevant,Hotels / Accommodation,,,,,,,23/06/2026
rmfon.pl,,,,,,12,,no_email_found,General / Other,,yes,unclassified_niche; no_email_found,,,,23/06/2026
magazynszum.pl,redakcja@magazynszum.pl,,,redakcja@magazynszum.pl,https://magazynszum.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,Yes,https://magazynszum.pl,,23/06/2026
olsztyn.com.pl,redakcja@olsztyn.com.pl,reklama@olsztyn.com.pl,,redakcja@olsztyn.com.pl | reklama@olsztyn.com.pl,https://olsztyn.com.pl,12,scraper,verified,General / Other,high,yes,unclassified_niche,,,,23/06/2026
analizy.pl,news@analizy.pl,info@analizy.pl,,news@analizy.pl | info@analizy.pl,,12,smtp_guess,needs_manual_check,Review Site,low,yes,smtp_guess,,,,23/06/2026
nadmorzem.com,,,,,,12,,no_email_found,Blog / Content Site,,yes,no_email_found,,,,23/06/2026
